Nome,Razão Social,Codigo,Setor,Segmento
FUND. INVEST. IMOB. SUCCESPAR VAREJO,FII S VAREJO,SPVJ,Fundo de Tijolo,Shoppings
FUNDO DE FDO INV IMOB KINEA FII,FII KINEAFOF,KFOF,Fundo de Papel,Fundo de Fundos
FUNDO DE INV IMOB RBR CRÉD PULVERIZADO RESP LTDA,FII PULV,PULV,Fundo de Papel,Papéis
FUNDO DE INV IMOB ROOFTOP III RESP LIMIT,FII HOMS,HOMS,Fundo Misto,Fundo de Desenvolvimento
FUNDO DE INVEST IMOBILIARIO SUNO ENERGIAS LIMPAS,FII SUNO EL,SNEL,Fundo Misto,Fundo de Desenvolvimento
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BLUE RECEBÍVEI,FII BLUE REC,BLUR,Fundo de Papel,Papéis
FUNDO DE INVESTIMENTO IMOBILIÁRIO - DEVELOPMENT V1,FII DEV ONE,LKDV,Fundo de Papel,Papéis
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENV,FII RBR III,RBRI,Fundo Misto,Fundo de Desenvolvimento
FUNDO DE INVESTIMENTO IMOBILIÁRIO - SPX SYN MULT,FII SPX SYN,SPXS,Fundo Misto,Indefinido
FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS - FII,FII APEX MS,APXM,Fundo de Tijolo,Shoppings
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,FII CAIXA AG,CXAG,Fundo de Tijolo,Agências de Bancos
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,FII CAIXA AG,CXAG,Fundo de Tijolo,Agências de Bancos
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,FII CAIXA AG,CXAG,Fundo de Tijolo,Agências de Bancos
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,FII CAIXA AG,CXAG,Fundo de Tijolo,Agências de Bancos
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,FII CAIXA AG,CXAG,Fundo de Tijolo,Agências de Bancos
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,FII CAIXA AG,CXAG,Fundo de Tijolo,Agências de Bancos
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,FII CAIXA AG,CXAG,Fundo de Tijolo,Agências de Bancos
FUNDO DE INVESTIMENTO IMOBILIÁRIO HBC RENDA URBANA,FII HBC REN,HBCR,Fundo Misto,Indefinido
FUNDO DE INVESTIMENTO IMOBILIÁRIO MINT EDUCACIONAL,FII MINT EDU,MINT,Fundo de Tijolo,Educacional
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV,FII PATRI IV,OPTM,Fundo Misto,Misto
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX,FII RIZA TX,RZTR,Fundo Misto,Misto
